customerName;productName;productLine;orderDate;orderDay;orderMonth;orderYear;orderQuarter;dollar_sales
Vitachrome Inc.;1937 Lincoln Berline;Vintage Cars;2003-01-10 00:00:00;10;1;2003;1;3726.45
Vitachrome Inc.;1936 Mercedes-Benz 500K Special Roadster;Vintage Cars;2003-01-10 00:00:00;10;1;2003;1;1768.33
Baane Mini Imports;1952 Alpine Renault 1300;Classic Cars;2003-01-29 00:00:00;29;1;2003;1;5571.8
Baane Mini Imports;1962 LanciaA Delta 16V;Classic Cars;2003-01-29 00:00:00;29;1;2003;1;5026.14
Baane Mini Imports;1958 Setra Bus;Trucks and Buses;2003-01-29 00:00:00;29;1;2003;1;3284.28
Baane Mini Imports;1940 Ford Pickup Truck;Trucks and Buses;2003-01-29 00:00:00;29;1;2003;1;3307.5
Baane Mini Imports;1926 Ford Fire Engine;Trucks and Buses;2003-01-29 00:00:00;29;1;2003;1;1283.48
Baane Mini Imports;1913 Ford Model T Speedster;Vintage Cars;2003-01-29 00:00:00;29;1;2003;1;2489.13
Baane Mini Imports;1934 Ford V8 Coupe;Vintage Cars;2003-01-29 00:00:00;29;1;2003;1;2164.4
Baane Mini Imports;18th Century Vintage Horse Carriage;Vintage Cars;2003-01-29 00:00:00;29;1;2003;1;2173
Baane Mini Imports;1917 Maxwell Touring Car;Vintage Cars;2003-01-29 00:00:00;29;1;2003;1;3970.26
Baane Mini Imports;1940s Ford truck;Trucks and Buses;2003-01-29 00:00:00;29;1;2003;1;3530.51
Baane Mini Imports;1939 Cadillac Limousine;Vintage Cars;2003-01-29 00:00:00;29;1;2003;1;1670.75
Baane Mini Imports;1962 Volkswagen Microbus;Trucks and Buses;2003-01-29 00:00:00;29;1;2003;1;3864.24
Baane Mini Imports;1936 Chrysler Airflow;Vintage Cars;2003-01-29 00:00:00;29;1;2003;1;2215.5
Baane Mini Imports;1980Ã¢â‚¬â„¢s GM Manhattan Express;Trucks and Buses;2003-01-29 00:00:00;29;1;2003;1;2866.25
Baane Mini Imports;1996 Peterbilt 379 Stake Bed with Outrigger;Trucks and Buses;2003-01-29 00:00:00;29;1;2003;1;2850.75
Baane Mini Imports;1982 Camaro Z28;Classic Cars;2003-01-29 00:00:00;29;1;2003;1;3950.93
Euro+ Shopping Channel;1969 Corvair Monza;Classic Cars;2003-01-31 00:00:00;31;1;2003;1;4468.96
Euro+ Shopping Channel;1957 Chevy Pickup;Trucks and Buses;2003-01-31 00:00:00;31;1;2003;1;4566.99
Euro+ Shopping Channel;1998 Chrysler Plymouth Prowler;Classic Cars;2003-01-31 00:00:00;31;1;2003;1;3261.60
Euro+ Shopping Channel;1964 Mercedes Tour Bus;Trucks and Buses;2003-01-31 00:00:00;31;1;2003;1;3559.17
Euro+ Shopping Channel;1992 Ferrari 360 Spider red;Classic Cars;2003-01-31 00:00:00;31;1;2003;1;3816.85
Euro+ Shopping Channel;1970 Triumph Spitfire;Classic Cars;2003-01-31 00:00:00;31;1;2003;1;4529.6
Euro+ Shopping Channel;1970 Dodge Coronet;Classic Cars;2003-01-31 00:00:00;31;1;2003;1;1820.7
Euro+ Shopping Channel;1958 Chevy Corvette Limited Edition;Classic Cars;2003-01-31 00:00:00;31;1;2003;1;1338.04
Euro+ Shopping Channel;1992 Porsche Cayenne Turbo Silver;Classic Cars;2003-01-31 00:00:00;31;1;2003;1;2767.70
Euro+ Shopping Channel;1954 Greyhound Scenicruiser;Trucks and Buses;2003-01-31 00:00:00;31;1;2003;1;1818.25
Euro+ Shopping Channel;1950's Chicago Surface Lines Streetcar;Trains;2003-01-31 00:00:00;31;1;2003;1;2770.95
Euro+ Shopping Channel;Diamond T620 Semi-Skirted Tanker;Trucks and Buses;2003-01-31 00:00:00;31;1;2003;1;3781.47
Euro+ Shopping Channel;1962 City of Detroit Streetcar;Trains;2003-01-31 00:00:00;31;1;2003;1;1705.92
Danish Wholesale Imports;1972 Alfa Romeo GTA;Classic Cars;2003-02-11 00:00:00;11;2;2003;1;6392
Danish Wholesale Imports;2001 Ferrari Enzo;Classic Cars;2003-02-11 00:00:00;11;2;2003;1;8434.52
Danish Wholesale Imports;1969 Ford Falcon;Classic Cars;2003-02-11 00:00:00;11;2;2003;1;4114.51
Danish Wholesale Imports;1903 Ford Model A;Vintage Cars;2003-02-11 00:00:00;11;2;2003;1;3004.98
Danish Wholesale Imports;Collectable Wooden Train;Trains;2003-02-11 00:00:00;11;2;2003;1;3333.74
Danish Wholesale Imports;1904 Buick Runabout;Vintage Cars;2003-02-11 00:00:00;11;2;2003;1;3094.68
Danish Wholesale Imports;18th century schooner;Ships;2003-02-11 00:00:00;11;2;2003;1;5072.71
Danish Wholesale Imports;1912 Ford Model T Delivery Wagon;Vintage Cars;2003-02-11 00:00:00;11;2;2003;1;3232.24
Danish Wholesale Imports;1940 Ford Delivery Sedan;Vintage Cars;2003-02-11 00:00:00;11;2;2003;1;3773.5
Danish Wholesale Imports;The Schooner Bluenose;Ships;2003-02-11 00:00:00;11;2;2003;1;2214
Danish Wholesale Imports;The Mayflower;Ships;2003-02-11 00:00:00;11;2;2003;1;2511.69
Danish Wholesale Imports;The USS Constitution Ship;Ships;2003-02-11 00:00:00;11;2;2003;1;1882.32
Danish Wholesale Imports;The Titanic;Ships;2003-02-11 00:00:00;11;2;2003;1;3594.24
Danish Wholesale Imports;The Queen Mary;Ships;2003-02-11 00:00:00;11;2;2003;1;2184.82
Danish Wholesale Imports;Pont Yacht;Ships;2003-02-11 00:00:00;11;2;2003;1;1119.25
Rovelli Gifts;1980s Black Hawk Helicopter;Planes;2003-02-17 00:00:00;17;2;2003;1;4825.44
Rovelli Gifts;P-51-D Mustang;Planes;2003-02-17 00:00:00;17;2;2003;1;2757.39
Rovelli Gifts;1999 Yamaha Speed Boat;Ships;2003-02-17 00:00:00;17;2;2003;1;3315.25
Rovelli Gifts;1941 Chevrolet Special Deluxe Cabriolet;Vintage Cars;2003-02-17 00:00:00;17;2;2003;1;3863.02
Rovelli Gifts;1928 British Royal Navy Airplane;Planes;2003-02-17 00:00:00;17;2;2003;1;3002.44
Rovelli Gifts;1900s Vintage Bi-Plane;Planes;2003-02-17 00:00:00;17;2;2003;1;3222.73
